run_id,source,model_name,augmentation_profile,embed_dim,windowing_name,index_name,index_kind,clean_top1,combined_moderate_top1,highpass_top1,lowpass_top1,noise_top1,pitch_top1,time_top1,realistic_hard_top1,mean_degraded_top1,worst_condition_top1,robustness_gap,latency_ms,index_size_mb,mrr,ranking_score
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,multi3_even,exact_ip,exact_ip,0.6247222222222223,0.12875,0.31410714285714286,0.5223214285714286,0.32303571428571426,0.13089285714285714,0.32053571428571426,,0.2899404761904762,0.12875,0.3347817460317461,0.10742444727084274,1.1719179153442383,0.46570921730443066,0.3706364497276014
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,0.6177777777777778,0.1685,0.0066071428571428574,0.43982142857142853,0.4448214285714286,0.415,0.5221428571428571,,0.3328154761904762,0.0066071428571428574,0.28496230158730157,0.08402644797224765,1.2220563888549805,0.4902456112788608,0.37026447440616944
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,multi3_even,ivfflat_nprobe8,ivfflat,0.6244444444444445,0.13174999999999998,0.3098214285714286,0.5167857142857143,0.3189285714285714,0.12910714285714286,0.31375000000000003,,0.2866904761904762,0.12910714285714286,0.33775396825396825,0.0826160864235577,1.2220563888549805,0.461110248413852,0.3700914288560305
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,single_center,exact_ip,exact_ip,0.5269444444444444,0.10800000000000001,0.3582142857142857,0.5030357142857143,0.36696428571428574,0.11071428571428572,0.28089285714285717,,0.2879702380952381,0.10800000000000001,0.23897420634920635,0.1006175774305436,0.3906679153442383,0.4382188624957825,0.3700786854546797
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,single_center,ivfflat_nprobe8,ivfflat,0.52625,0.10725,0.35660714285714284,0.5017857142857143,0.36500000000000005,0.11142857142857143,0.27839285714285716,,0.28674404761904765,0.10725,0.23950595238095235,0.08440540688885298,0.4092588424682617,0.4365309161621683,0.3699730357470133
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,multi3_even,ivfpq_nprobe4,ivfpq,0.5638888888888889,0.155,0.005535714285714285,0.3991071428571429,0.40767857142857145,0.36839285714285713,0.49089285714285713,,0.3044345238095238,0.005535714285714285,0.2594543650793651,0.08818764232635581,0.21184158325195312,0.4650663329107691,0.3692125071106965
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,single_center,exact_ip,exact_ip,0.5081944444444444,0.11674999999999999,0.0062499999999999995,0.44589285714285715,0.45035714285714284,0.4335714285714286,0.4932142857142857,,0.3243392857142857,0.0062499999999999995,0.18385515873015867,0.09950784911109799,0.3906679153442383,0.46221757444822176,0.3688487663270887
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,single_center,ivfflat_nprobe8,ivfflat,0.5075,0.11674999999999999,0.0062499999999999995,0.44375000000000003,0.44803571428571426,0.4325,0.49107142857142855,,0.32305952380952385,0.0062499999999999995,0.1844404761904761,0.08343777576382334,0.4092588424682617,0.4601361321852226,0.368800642027203
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,multi3_even,ivfflat_nprobe8,ivfflat,0.5936111111111111,0.15699999999999997,0.2617857142857143,0.5414285714285715,0.2507142857142857,0.12839285714285714,0.37535714285714283,,0.2857797619047619,0.12839285714285714,0.3078313492063492,0.08467364106250999,1.2220563888549805,0.4652461920811798,0.3684422575328709
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,multi3_even,exact_ip,exact_ip,0.5943055555555555,0.15625,0.2619642857142857,0.5426785714285713,0.25285714285714284,0.12803571428571428,0.3751785714285714,,0.28616071428571427,0.12803571428571428,0.30814484126984126,0.11628506997221341,1.1719179153442383,0.46639699931932893,0.3666582716163906
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,multi3_even,ivfflat_nprobe4,ivfflat,0.5893055555555555,0.15325,0.2573214285714286,0.5337500000000001,0.24089285714285716,0.12875,0.3682142857142857,,0.2803630952380953,0.12875,0.30894246031746025,0.08485731604162083,1.2220563888549805,0.45737218007587094,0.36466419741035394
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,single_center,ivfpq_nprobe4,ivfpq,0.49944444444444447,0.11325,0.2576785714285714,0.4694642857142857,0.23857142857142857,0.14214285714285715,0.34160714285714283,,0.26045238095238094,0.11325,0.23899206349206353,0.08447990303467476,0.15587997436523438,0.4288105258106943,0.36461455870943044
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,single_center,ivfflat_nprobe4,ivfflat,0.5029166666666667,0.11425,0.0062499999999999995,0.4316071428571428,0.4394642857142857,0.41732142857142857,0.48357142857142854,,0.31541071428571427,0.0062499999999999995,0.1875059523809524,0.08449104444443693,0.4092588424682617,0.451130789363517,0.3636890681285663
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,single_center,ivfpq_nprobe4,ivfpq,0.5281944444444444,0.09075,0.31107142857142855,0.4742857142857143,0.2994642857142857,0.13392857142857142,0.2819642857142857,,0.2652440476190476,0.09075,0.26295039682539684,0.08355482940968764,0.15587997436523438,0.4228443743121729,0.36289210939475613
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,multi3_even,ivfflat_nprobe4,ivfflat,0.6177777777777778,0.12925,0.29642857142857143,0.4925,0.3001785714285714,0.12535714285714286,0.2955357142857143,,0.27320833333333333,0.12535714285714286,0.34456944444444443,0.0831594296319938,1.2220563888549805,0.4460193928833153,0.36063116809786944
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,single_center,ivfpq_nprobe4,ivfpq,0.47388888888888886,0.10350000000000001,0.0069642857142857145,0.3996428571428572,0.4117857142857143,0.39464285714285713,0.4635714285714286,,0.2966845238095238,0.0069642857142857145,0.17720436507936504,0.08455017404165548,0.15587997436523438,0.4353181312189194,0.3593542686239303
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,multi3_even,ivfpq_nprobe4,ivfpq,0.5691666666666667,0.11000000000000001,0.2592857142857143,0.4608928571428571,0.2671428571428571,0.10750000000000001,0.2671428571428572,,0.24532738095238094,0.10750000000000001,0.3238392857142858,0.08337004429163622,0.21184158325195312,0.4215118296529606,0.357146511904994
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,single_center,ivfpq_nprobe4,ivfpq,0.49194444444444446,0.08575,0.32142857142857145,0.4682142857142857,0.33464285714285713,0.10482142857142858,0.24714285714285714,,0.2603333333333333,0.08575,0.23161111111111116,0.08322908543049658,0.15587997436523438,0.4093561381362036,0.35587430523668845
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,multi3_even,exact_ip,exact_ip,0.5651388888888889,0.12475,0.32142857142857145,0.5125,0.3485714285714286,0.08910714285714284,0.2717857142857143,,0.2780238095238095,0.08910714285714284,0.28711507936507935,0.1087390641805415,1.1719179153442383,0.44220831163693863,0.350734008751598
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,multi3_even,ivfpq_nprobe4,ivfpq,0.5073611111111112,0.12925,0.21875,0.45732142857142855,0.20232142857142857,0.10892857142857142,0.31339285714285714,,0.23832738095238093,0.10892857142857142,0.2690337301587302,0.08353104182639173,0.21184158325195312,0.41815409485421196,0.3506745730278501
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,multi3_even,ivfflat_nprobe8,ivfflat,0.5658333333333334,0.126,0.31482142857142853,0.5073214285714286,0.3417857142857143,0.08785714285714286,0.2682142857142857,,0.2743333333333334,0.08785714285714286,0.29150000000000004,0.0841958487500152,1.2220563888549805,0.4374545148049869,0.3496672099826016
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,multi3_even,ivfflat_nprobe4,ivfflat,0.5612499999999999,0.1285,0.30589285714285713,0.4867857142857143,0.3180357142857143,0.08678571428571429,0.2591071428571428,,0.2641845238095238,0.08678571428571429,0.29706547619047613,0.08384317578466809,1.2220563888549805,0.42408128066051515,0.34268082040462866
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,multi3_even,ivfpq_nprobe4,ivfpq,0.5108333333333334,0.10474999999999998,0.27017857142857143,0.455,0.28464285714285714,0.06946428571428571,0.22571428571428573,,0.23495833333333335,0.06946428571428571,0.275875,0.08462289209728624,0.21184158325195312,0.39807463024299755,0.33833443004706
hybrid_transformer_baseline_embed128,notebook2,hybrid_transformer,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,0.5590277777777778,0.14575,0.0066071428571428574,0.3457142857142857,0.3398214285714286,0.31589285714285714,0.435,,0.26479761904761906,0.0066071428571428574,0.29423015873015873,0.08308683981249487,1.2220563888549805,0.4146255551449583,0.32545595857751203
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,multi3_even,ivfflat_nprobe1,ivfflat,0.5398611111111111,0.1485,0.21142857142857144,0.42839285714285713,0.18232142857142858,0.11107142857142858,0.28232142857142856,,0.22733928571428572,0.11107142857142858,0.3125218253968254,0.08554366434027669,1.2220563888549805,0.39016415480842476,0.32465606214228576
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,single_center,ivfflat_nprobe1,ivfflat,0.4961111111111111,0.08575,0.2467857142857143,0.38321428571428573,0.22660714285714287,0.11499999999999999,0.21196428571428574,,0.21155357142857148,0.08575,0.2845575396825396,0.08357708886811425,0.4092588424682617,0.35734218188688616,0.3185225598152479
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,single_center,exact_ip,exact_ip,0.45152777777777775,0.063,0.45928571428571424,0.45267857142857143,0.2407142857142857,0.015178571428571428,0.2225,,0.24222619047619046,0.015178571428571428,0.2093015873015873,0.10036872101385877,0.3906679153442383,0.3774274200654963,0.3180605768318359
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,single_center,ivfflat_nprobe8,ivfflat,0.4511111111111111,0.0625,0.45678571428571424,0.44875,0.2385714285714286,0.01482142857142857,0.21892857142857142,,0.24005952380952378,0.01482142857142857,0.2110515873015873,0.08574343628474582,0.4092588424682617,0.37461211382440396,0.3173208768848023
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,single_center,ivfflat_nprobe1,ivfflat,0.46458333333333335,0.08875000000000001,0.2567857142857143,0.3866071428571428,0.24499999999999997,0.0894642857142857,0.1842857142857143,,0.20848214285714287,0.08875000000000001,0.2561011904761905,0.08385871086804601,0.4092588424682617,0.347466437435714,0.31465868723454476
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,single_center,ivfpq_nprobe4,ivfpq,0.4276388888888889,0.05075,0.43589285714285714,0.4230357142857143,0.21625,0.014285714285714287,0.19660714285714284,,0.2228035714285714,0.014285714285714287,0.2048353174603175,0.08491809199303033,0.15587997436523438,0.35652214361649726,0.31340895931862184
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,single_center,ivfflat_nprobe4,ivfflat,0.44361111111111107,0.057499999999999996,0.4471428571428571,0.4385714285714286,0.22839285714285712,0.014464285714285716,0.2082142857142857,,0.23238095238095238,0.014464285714285716,0.21123015873015868,0.0848371312638834,0.4092588424682617,0.3649395901036797,0.31204515800711496
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,multi3_even,ivfflat_nprobe1,ivfflat,0.5551388888888888,0.12349999999999998,0.21571428571428572,0.36464285714285716,0.21267857142857144,0.09982142857142857,0.21303571428571427,,0.20489880952380948,0.09982142857142857,0.3502400793650794,0.08835285737499513,1.2220563888549805,0.36629100590005076,0.30925299029953934
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,multi3_even,exact_ip,exact_ip,0.4901388888888889,0.08499999999999999,0.47000000000000003,0.4564285714285714,0.20660714285714285,0.013214285714285715,0.22,,0.24187499999999998,0.013214285714285715,0.24826388888888892,0.10848567523608052,1.1719179153442383,0.38798271493877984,0.3074252506634701
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,multi3_even,ivfflat_nprobe8,ivfflat,0.4879166666666667,0.08525,0.46625,0.4491071428571428,0.2007142857142857,0.013571428571428571,0.21571428571428572,,0.2384345238095238,0.013571428571428571,0.24948214285714293,0.08452329059031172,1.2220563888549805,0.38308958361577966,0.30657718224232133
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,multi3_even,ivfpq_nprobe4,ivfpq,0.44472222222222224,0.06825,0.4323214285714286,0.4057142857142857,0.16446428571428573,0.01107142857142857,0.18589285714285714,,0.21128571428571427,0.01107142857142857,0.23343650793650797,0.08456489683337369,0.21184158325195312,0.3552295810055486,0.3062757972341574
hybrid_transformer_one_of_k_embed128,notebook3_training,hybrid_transformer,one_of_k,128,single_center,ivfflat_nprobe4,ivfflat,0.5561111111111111,0.10375000000000001,0.33714285714285713,0.4973214285714286,0.3241071428571428,0.15339285714285714,0.3057142857142857,,0.28690476190476194,0.10375000000000001,0.26920634920634917,3.425633652729219,0.4092588424682617,0.4404491726908158,0.3018053512713432
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,multi3_even,ivfflat_nprobe4,ivfflat,0.47986111111111107,0.08349999999999999,0.4530357142857143,0.4326785714285714,0.18714285714285714,0.012321428571428572,0.20660714285714285,,0.2292142857142857,0.012321428571428572,0.25064682539682537,0.08324617586806779,1.2220563888549805,0.3716535275983009,0.3001685975092976
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,single_center,ivfflat_nprobe4,ivfflat,0.5205555555555555,0.10474999999999998,0.34339285714285717,0.48839285714285713,0.3508928571428572,0.11035714285714285,0.2666071428571429,,0.2773988095238095,0.10474999999999998,0.24315674603174603,3.426928426416699,0.4092588424682617,0.4248609285419283,0.29360504960184125
hybrid_transformer_severity_controlled_embed128,notebook3_training,hybrid_transformer,severity_controlled,128,multi3_even,ivfflat_nprobe1,ivfflat,0.5052777777777778,0.11699999999999999,0.21714285714285714,0.3717857142857143,0.21767857142857142,0.06392857142857143,0.19375,,0.19688095238095238,0.06392857142857143,0.30839682539682545,0.0884736755694525,1.2220563888549805,0.34928325030710616,0.29341196556518556
hybrid_transformer_extended_embed128,notebook2,hybrid_transformer,extended_existing,128,single_center,ivfflat_nprobe8,ivfflat,0.5130555555555555,0.04675,0.1344642857142857,0.2653571428571429,0.046785714285714285,0.10946428571428571,0.3023214285714286,,0.15085714285714288,0.04675,0.3621984126984126,0.08447678200692761,0.4092588424682617,0.33620347414020835,0.2810090208303181
hybrid_transformer_extended_embed128,notebook2,hybrid_transformer,extended_existing,128,single_center,exact_ip,exact_ip,0.5131944444444444,0.047,0.13482142857142856,0.26607142857142857,0.046785714285714285,0.10964285714285714,0.3026785714285714,,0.15116666666666667,0.046785714285714285,0.3620277777777777,0.10066526774295426,0.3906679153442383,0.3364961957448884,0.2803243844006694
hybrid_transformer_extended_embed128,notebook2,hybrid_transformer,extended_existing,128,single_center,ivfflat_nprobe4,ivfflat,0.5118055555555556,0.04775,0.13303571428571428,0.26357142857142857,0.045178571428571436,0.10928571428571429,0.29928571428571427,,0.14968452380952382,0.045178571428571436,0.36212103174603183,0.08475744797910542,0.4092588424682617,0.3336943512222326,0.2797043299515097
hybrid_transformer_extended_embed128,notebook2,hybrid_transformer,extended_existing,128,single_center,ivfpq_nprobe4,ivfpq,0.4561111111111111,0.03675,0.11482142857142856,0.2298214285714286,0.041607142857142856,0.0980357142857143,0.24553571428571427,,0.12776190476190477,0.03675,0.3283492063492063,0.08385449541669408,0.15587997436523438,0.31167660104928324,0.269920296275969
frozen_mert_extended_embed128,notebook2,frozen_mert,extended_existing,128,single_center,ivfflat_nprobe1,ivfflat,0.49444444444444446,0.11499999999999999,0.22785714285714284,0.42839285714285713,0.21392857142857144,0.12839285714285714,0.2994642857142857,,0.2355059523809524,0.11499999999999999,0.25893849206349207,3.426999822138864,0.4092588424682617,0.3854376056779596,0.26958384560155363
hybrid_transformer_filters_only_embed128,notebook3_training,hybrid_transformer,filters_only,128,multi3_even,ivfflat_nprobe1,ivfflat,0.4309722222222222,0.072,0.3614285714285714,0.33482142857142855,0.13767857142857146,0.008571428571428572,0.15142857142857144,,0.1776547619047619,0.008571428571428572,0.2533174603174603,0.08943786906944398,1.2220563888549805,0.3137767324984724,0.26456618586021013
hybrid_transformer_extended_embed256,notebook2,hybrid_transformer,extended_existing,256,single_center,ivfflat_nprobe8,ivfflat,0.5306944444444445,0.03175,0.13392857142857142,0.2275,0.051250000000000004,0.10232142857142858,0.2716071428571429,,0.13639285714285718,0.03175,0.39430158730158726,0.08470776695829348,0.8120908737182617,0.32607084362268074,0.2629552988702072
hybrid_transformer_extended_embed256,notebook2,hybrid_transformer,extended_existing,256,single_center,exact_ip,exact_ip,0.5311111111111111,0.03125,0.13392857142857142,0.22767857142857142,0.051250000000000004,0.10232142857142858,0.2717857142857143,,0.13636904761904764,0.03125,0.3947420634920634,0.10403282059027989,0.7812929153442383,0.3263016794207023,0.2617633954615986
hybrid_transformer_extended_embed256,notebook2,hybrid_transformer,extended_existing,256,single_center,ivfflat_nprobe4,ivfflat,0.5298611111111111,0.0315,0.13107142857142856,0.225,0.05071428571428571,0.10232142857142858,0.26607142857142857,,0.13444642857142855,0.0315,0.3954146825396826,0.08471013774300218,0.8120908737182617,0.3230000664766172,0.2615269212788411
