run_id,source,model_name,augmentation_profile,embed_dim,windowing_name,index_name,index_kind,regime_name,condition_name,query_length_seconds,top1,top5,top10,mrr,query_group_count
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,combined_moderate,combined_moderate,1.0,0.135,0.2125,0.25625,0.2371037157287157,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,combined_moderate,combined_moderate,2.0,0.1575,0.22,0.245,0.2539295183982684,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,combined_moderate,combined_moderate,3.0,0.175,0.23125,0.255,0.2667679473304473,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,multi_segment_same_track,clean,1.0,0.83125,0.92625,0.945,0.8779227838703294,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,multi_segment_same_track,clean,2.0,0.97125,0.9925,0.995,0.981668756063546,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,multi_segment_same_track,combined_moderate,1.0,0.22125,0.42375,0.49875,0.33162920151371417,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,multi_segment_same_track,combined_moderate,2.0,0.32,0.52375,0.575,0.4273939897581688,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,clean,1.0,0.69125,0.7475,0.755,0.7390539772727271,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,clean,2.0,0.885,0.905,0.91125,0.9028494318181819,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,clean,3.0,0.99625,1.0,1.0,0.998125,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,highpass,1.0,0.02125,0.0325,0.04375,0.11380979437229438,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,highpass,2.0,0.0225,0.03625,0.0475,0.1153161075036075,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,highpass,3.0,0.02125,0.03625,0.04375,0.11480681818181818,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,lowpass,1.0,0.42625,0.5275,0.5575,0.5117342171717172,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,lowpass,2.0,0.49625,0.5875,0.60875,0.5730200667388168,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,lowpass,3.0,0.52375,0.60375,0.625,0.5924123376623376,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,noise,1.0,0.44,0.55625,0.5825,0.52937022005772,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,noise,2.0,0.63875,0.695,0.7075,0.6899569805194805,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,noise,3.0,0.7125,0.76875,0.7775,0.7573954274891775,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,pitch,1.0,0.36,0.53875,0.58625,0.4770377435064935,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,pitch,2.0,0.48875,0.62625,0.645,0.5804508026695526,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,pitch,3.0,0.56875,0.68875,0.70375,0.6491778499278499,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,time,1.0,0.6,0.67875,0.6925,0.6629103986291486,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,time,2.0,0.78,0.8225,0.83,0.8140304383116884,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_centered,time,3.0,0.8125,0.84375,0.85375,0.8413857323232324,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,clean,1.0,0.4525,0.5575,0.60375,0.5369309613997114,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,clean,2.0,0.58,0.66375,0.6925,0.6449674422799423,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,clean,3.0,0.6125,0.71625,0.7325,0.678711534992785,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,highpass,1.0,0.01125,0.02375,0.0325,0.105228851010101,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,highpass,2.0,0.01375,0.0275,0.0325,0.10661228354978355,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,highpass,3.0,0.0125,0.02625,0.0325,0.10661426767676767,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,lowpass,1.0,0.25125,0.4,0.43875,0.363659632034632,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,lowpass,2.0,0.29875,0.43125,0.46875,0.4057146013708513,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,lowpass,3.0,0.3125,0.4425,0.47125,0.4127323683261183,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,noise,1.0,0.28125,0.42625,0.475,0.3902649711399711,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,noise,2.0,0.41375,0.53,0.56625,0.5065920364357863,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,noise,3.0,0.4375,0.575,0.60875,0.5327179834054834,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,pitch,1.0,0.24375,0.4075,0.46375,0.36140674603174605,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,pitch,2.0,0.33875,0.50625,0.545,0.45234329906204906,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,pitch,3.0,0.35,0.5125,0.55,0.4601784361471861,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,time,1.0,0.38625,0.50625,0.54375,0.47937459415584416,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,time,2.0,0.48375,0.59875,0.63,0.5668957882395382,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe1,ivfflat,short_offcenter,time,3.0,0.53125,0.65,0.68,0.6103503336940836,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,clean,3.0,0.99625,1.0,1.0,0.998125,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,highpass,3.0,0.0275,0.05125,0.0725,0.12233306277056276,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,lowpass,3.0,0.655,0.78625,0.82125,0.7272371031746032,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,noise,3.0,0.88375,0.94625,0.9525,0.9174377254689755,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,pitch,3.0,0.7525,0.93,0.9425,0.8357347132034632,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,clean_current,time,3.0,0.96375,0.9875,0.9875,0.9762405303030303,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,combined_moderate,combined_moderate,1.0,0.1625,0.28,0.33875,0.2733254419191919,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,combined_moderate,combined_moderate,2.0,0.21125,0.30375,0.35375,0.30999751984126983,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,combined_moderate,combined_moderate,3.0,0.23125,0.335,0.37625,0.33521843434343424,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,multi_segment_same_track,clean,1.0,0.845,0.9825,0.99375,0.9048925502141227,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,multi_segment_same_track,clean,2.0,0.98375,1.0,1.0,0.9915625,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,multi_segment_same_track,combined_moderate,1.0,0.22625,0.47625,0.5925,0.357278601817288,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,multi_segment_same_track,combined_moderate,2.0,0.35875,0.61125,0.6725,0.48358997557032685,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,clean,1.0,0.85625,0.9425,0.9475,0.8977270923520922,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,clean,2.0,0.98125,0.99625,0.99625,0.9888825757575758,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,clean,3.0,0.99625,1.0,1.0,0.998125,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,highpass,1.0,0.02625,0.04625,0.07,0.12017095057720058,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,highpass,2.0,0.02875,0.0525,0.0725,0.12407661435786434,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,highpass,3.0,0.0275,0.05125,0.0725,0.12233306277056276,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,lowpass,1.0,0.54875,0.73875,0.79375,0.6503973214285714,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,lowpass,2.0,0.62875,0.77875,0.8175,0.7105566829004328,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,lowpass,3.0,0.655,0.78625,0.82125,0.7272371031746032,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,noise,1.0,0.63,0.80375,0.84375,0.7207129779942281,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,noise,2.0,0.84125,0.93625,0.9475,0.8840113185425684,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,noise,3.0,0.88375,0.94625,0.9525,0.9174377254689755,800
cnn_baseline_embed128,notebook2,cnn,baseline,128,multi3_even,ivfflat_nprobe4,ivfflat,short_centered,pitch,1.0,0.47625,0.7125,0.7875,0.6006470508658008,800
